Segment Address,Entropy
0x4000,4.288909765557392
0x4020,4.187499999999999
0x4040,4.491729296672174
0x4060,3.6869996115311405
0x4080,4.265319531114782
0x40A0,3.9292292966721742
0x40C0,4.116729296672175
0x40E0,4.124999999999999
0x4100,4.265319531114782
0x4120,4.202819531114782
0x4140,4.374999999999998
0x4160,4.288909765557391
0x4180,4.351409765557391
0x41A0,4.090018266288633
0x41C0,4.413909765557391
0x41E0,4.054229296672174
0x4200,4.027518266288632
0x4220,4.1371987351738495
0x4240,4.515319531114783
0x4260,3.890319531114783
0x4280,4.437500000000001
0x42A0,3.79980087635729
0x42C0,4.051108500731241
0x42E0,3.6244996115311405
0x4300,4.202819531114782
0x4320,4.101409765557392
0x4340,4.077819531114783
0x4360,4.125
0x4380,4.038909765557392
0x43A0,4.155639062229566
0x43C0,4.202819531114782
0x43E0,4.077819531114783
0x4400,4.5625
0x4420,4.4496987351738495
0x4440,4.538909765557391
0x4460,4.0511085007312415
0x4480,4.601409765557391
0x44A0,3.9261085007312406
0x44C0,4.625
0x44E0,3.816428031846025
0x4500,4.538909765557391
0x4520,4.324698735173849
0x4540,4.0868974703477
0x4560,4.601409765557391
0x4580,4.241729296672175
0x45A0,4.687499999999999
0x45C0,4.4375
0x45E0,4.538909765557391
0x4600,4.249999999999999
0x4620,4.577819531114783
0x4640,4.390319531114782
0x4660,4.476409765557392
0x4680,4.374999999999998
0x46A0,4.601409765557391
0x46C0,4.312499999999999
0x46E0,4.327819531114782
0x4700,4.074698735173849
0x4720,4.090018266288633
0x4740,4.452819531114783
0x4760,3.6883072359050906
0x4780,4.390319531114783
0x47A0,4.128928031846025
0x47C0,3.9056390622295667
0x47E0,3.988608500731241
0x4800,4.3125
0x4820,4.499999999999999
0x4840,4.390319531114783
0x4860,4.5625
0x4880,4.601409765557391
0x48A0,4.215018266288632
0x48C0,4.515319531114783
0x48E0,4.024397470347699
0x4900,4.304229296672174
0x4920,3.8553377974034158
0x4940,4.601409765557391
0x4960,3.8368974703476995
0x4980,4.4496987351738495
0x49A0,3.6320488277869587
0x49C0,4.476409765557391
0x49E0,4.113608500731241
0x4A00,4.288909765557391
0x4A20,4.390319531114782
0x4A40,4.226409765557392
0x4A60,4.312499999999999
0x4A80,4.140319531114784
0x4AA0,4.390319531114782
0x4AC0,4.116729296672174
0x4AE0,4.374999999999999
0x4B00,4.625
0x4B20,4.003928031846024
0x4B40,4.265319531114782
0x4B60,4.30110850073124
0x4B80,4.452819531114783
0x4BA0,4.187499999999999
0x4BC0,4.241729296672174
0x4BE0,4.179229296672173
0x4C00,4.327819531114782
0x4C20,4.280639062229566
0x4C40,4.452819531114783
0x4C60,4.265319531114783
0x4C80,3.941428031846024
0x4CA0,4.116729296672175
0x4CC0,4.366729296672174
0x4CE0,4.663909765557391
0x4D00,3.2246017527145807
0x4D20,4.179229296672175
0x4D40,4.1996987351738495
0x4D60,4.351409765557391
0x4D80,3.757048827786958
0x4DA0,4.327819531114782
0x4DC0,3.4536267670198746
0x4DE0,4.288909765557391
